isbn,call,barcode,url
9781003461098,142/.7,E02139,https://www.taylorfrancis.com/books/9781003461098
9781003463306,363.6/9,E02140,https://www.taylorfrancis.com/books/9781003463306
9781003463542,6.3,E02141,https://www.taylorfrancis.com/books/9781003463542
9781003469568,368,E02142,https://www.taylorfrancis.com/books/9781003469568
9781003472759,005.13/3,E02143,https://www.taylorfrancis.com/books/9781003472759
9781003475743,616.89/1562,E02144,https://www.taylorfrancis.com/books/9781003475743
9781003478324,907.2,E02145,https://www.taylorfrancis.com/books/9781003478324
9781003478362,343/.032,E02146,https://www.taylorfrancis.com/books/9781003478362
9781003484899,368/.01,E02147,https://www.taylorfrancis.com/books/9781003484899
9781003486947,363.738,E02148,https://www.taylorfrancis.com/books/9781003486947
9781003502708,6.3,E02149,https://www.taylorfrancis.com/books/9781003502708
9781003512653,362.760285/46,E02150,https://www.taylorfrancis.com/books/9781003512653
9781003512660,344.01,E02151,https://www.taylorfrancis.com/books/9781003512660
9781003515678,343.41/07830223,E02152,https://www.taylorfrancis.com/books/9781003515678
9781003530596,150.19/88,E02153,https://www.taylorfrancis.com/books/9781003530596
9781003558958,343.07/21,E02154,https://www.taylorfrancis.com/books/9781003558958
9781003564515,507.1/2,E02155,https://www.taylorfrancis.com/books/9781003564515
9781003595663,610.72,E02156,https://www.taylorfrancis.com/books/9781003595663
9781003607106,364.106,E02157,https://www.taylorfrancis.com/books/9781003607106
9781003623694,546/.6,E02158,https://www.taylorfrancis.com/books/9781003623694
9781032107707,364.36,E02159,https://www.taylorfrancis.com/books/9781032107707
9781032260938,346.048,E02160,https://www.taylorfrancis.com/books/9781032260938
9781032625935,616.0072/7,E02161,https://www.taylorfrancis.com/books/9781032625935
9781032631882,155.9/15,E02162,https://www.taylorfrancis.com/books/9781032631882
9781032635507,809.04,E02163,https://www.taylorfrancis.com/books/9781032635507
9781032640839,612.8/233,E02164,https://www.taylorfrancis.com/books/9781032640839
9781032641706,954.05/1,E02165,https://www.taylorfrancis.com/books/9781032641706
9781032672984,001.4/2,E02166,https://www.taylorfrancis.com/books/9781032672984
9781032689739,343.07/1,E02167,https://www.taylorfrancis.com/books/9781032689739
9781032690445,155,E02168,https://www.taylorfrancis.com/books/9781032690445
9781032694498,616.89/14,E02169,https://www.taylorfrancis.com/books/9781032694498
9781032700489,820.9/36,E02170,https://www.taylorfrancis.com/books/9781032700489
9781032703909,344.5404/6,E02171,https://www.taylorfrancis.com/books/9781032703909
9781032710372,340.072,E02172,https://www.taylorfrancis.com/books/9781032710372
9781032719603,616.89/1425,E02173,https://www.taylorfrancis.com/books/9781032719603
9781315117041,332.072/7,E02174,https://www.taylorfrancis.com/books/9781315117041
9781315167473,158.7,E02175,https://www.taylorfrancis.com/books/9781315167473
9781315190778,152.4094,E02176,https://www.taylorfrancis.com/books/9781315190778
9781315675718,401/.430183,E02177,https://www.taylorfrancis.com/books/9781315675718
